Card Title	Set	Rarity	Artist
Bolton	S	C	Scott M. Fischer
Book of Dzyan (Atlantean)	B2	U	R. Wayt Smith
Book of Dzyan (English)	S	C	R. Wayt Smith
Book of Eibon (Atlantean)	B2	C	Scott M. Fischer
Book of Eibon (English)	B3	C	Scott M. Fischer
Book of Eibon (Hyperborean)	B2	U	Scott M. Fischer
Boston Globe	B3	C	Strephon Taylor
Brilliant Egyptian Archaeologist	I	x	C. Brent Ferguson & Ovi Hondru
British Museum	B1	C	Strephon Taylor
Brotherhood of the Black Pharaoh	B3	R	Chaosium
Brown Jenkin 	B3	R	C. Brent Ferguson & Ovi Hondru
Brown University John Hay Library	S	C	Earl Geier
Byakhee	B2	C	Tom Sullivan
Cairo Qahwa	B3	C	Jason Voss
Call of Cthulhu	S	C	Eric Vogt
Call Power of Nyambe	B2	R	Michael Kellner
Camel	B3	C	Eric Vogt
Capable Graduate Student	I	x	C. Brent Ferguson & Ovi Hondru
Capt. Edward Norrys	B1	C	John Bridges
Capt. Karl Heinrich	B1	C	Joseph Sutliff
Car	S	C	Eric Vogt
Carl Stanford	B3	R	Thomas Garrett Adams
Catacombs of Rome	B1	C	Angelo Montanini
Catastrophic Failure	S	C	Sam Shirley
Celeano	B2	U	Andrew T. Kalichack
Chant of Thoth	S	U	Michael Kellner
Chapman Farmhouse	S	R	John Snyder
Charles Dexter Ward	S	U	Todd Lockwood
Chateau Des Fausses Flames	B1	R	Ovi Hondru
Children Have Nightmares	S	U	Brian & Meghan Krank-McLean
Chime of Tezchaptl	S	R	Heather McKinney
Christchurch Cemetery (Innsmouth)	S	R	Dennis J. Calero
Christchurch Cemetery (Arkham)	S	R	Earl Geier
Church of Starry Wisdom	S	U	C. Brent Ferguson & Ovi Hondru
Circles of Thaol	S	C	Michael Kellner
City Morgue	B3	C	Thomas Garrett Adams
Claustrophobia	S	C	Strephon Taylor
Cleric of Fading Faith	I	x	C. Brent Ferguson & Ovi Hondru
Closed-Cockpit Monoplane	B1	U	Eric Vogt
Cloud Memory	S	C	Eric Vogt
Cold Spring Glen	B1	U	Michael Blanchard
Colour Out of Space	S	C	Lee Moyer
Command the Dead	B3	C	Michael Kellner
Conanicut Island Private Hospital	S	U	Lee Moyer
Congregational Church	B1	R	Andrew T. Kalichack
Consume Likeness	B3	R	Michael Kellner
Controversial French Mystic	I	x	C. Brent Ferguson & Ovi Hondru
Copp's Hill Burying Ground	B3	R	Barry Barry Chambers
Crawford Tillinghast	S	U	John Bridges
Create Bad Corpse Dust	B3	C	Michael Kellner
Create Gate	B3	C	Michael Kellner
Create Time Warp	B2	R	Michael Kellner
Create Your Own Adventure	P	x	Chaosium
Crowninshield House	S	C	John Snyder
Cthaat Aquadingen	S	R	Justin Hampton
Cthulhu	B2	U	Lee Gibbons
Cultes Des Goules	S	C	Scott M. Fischer
Curse of the Rat-Thing	S	C	Michael Kellner
Dawn of a New Day	S	C	Dennis J. Calero
De Vermiis Mysteriis	B1	R	Andrew T. Kalichack
Deep One	S	C	Tom Sullivan
Demophobia	S	C	Lee Moyer
Dendrophobia	S	R	Andrew T. Kalichack
Dennys Barry	B1	C	Joseph Sutliff
Devil Reef	B2	C	Scott M. Fischer
Devil's Hop Yard	B1	U	Strephon Taylor
Devolution	B2	C	Lee Gibbons
Dhole	B3	C	Tom Sullivan
Dimensional Shambler	B2	C	Tom Sullivan
Direct Sunlight	S	U	Alan M. Clark
Dirigible 	B1	C	Eric Vogt
Discover Secret Cache 	S	U	Thomas Garrett Adams
Disk of the Hyades	B2	C	Sam Shirley
Diving Suit	B2	C	Earl Geier
Dominate	B1	C	Michael Kellner
Dr. Allen Halsey	B1	U	Barry Chambers
Dr. Marinus Bicknell Willett	S	C	Drashi Kendup
Dread Curse of Azathoth	B2	R	Michael Kellner
Drought	S	U	Scott M. Fischer
Dynamite	S	C	Heather McKinney
Earnest Reporter	I	x	C. Brent Ferguson & Ovi Hondru
Earthquake! 	S	U	Ovi Hondru
Easter Island	B2	C	Scott Kirschner
Eclipse of the Sun	S	R	Heather McKinney
Edgar Allen Poe	B2	C	Lee Moyer
Edward Pickman Derby	S	R	Scott Kirschner
Eibon's Wheel of Mist	B3	R	Michael Kellner
Elder Sign	B2	C	Michael Kellner
Elder Things	S	R	Tom Sullivan
Elephant Gun	S	U	Scott M. Fischer
Eltdown Shards (Glyphs)	B2	C	Tim Calender
Eltdown Shards, Winters-Hall Ed.	B1	C	Eric Vogt
Enchanted Cane	S	R	Dennis J. Calero
Eosophobia	S	C	Earl Geier
Ephraim Waite	S	R	Alan M. Clark
Erich Zann	B1	R	Thomas Garrett Adams
Esoteric Order of Dagon	S	R	Chris Adams
Eusapia Paladino	B1	R	Angelo Montanini
Exham Priory	B1	C	Jeff Menges
Exuberant Boston Flapper	I	x	C. Brent Ferguson & Ovi Hondru
Faith Baptist Church	S	C	Scott M. Fischer
Faraz Najir	B3	C	Jason Voss
Father Dagon	S	U	Lee Moyer
Fire Vampires	S	C	Dennis J. Calero
First Baptist Church	S	C	Lee Moyer
Flee to Special Room	S	C	Lee Moyer
Fly	B2	C	Michael Kellner
Flying Polyp	S	R	Tom Sullivan
Formless Spawn	S	C	Tom Sullivan
Full Moon	S	U	Dennis J. Calero
George Birch	S	C	John Bridges
George Gammell Angel 	B2	C	Strephon Taylor
Ghasts	S	C	Tom Sullivan
Ghatanathoa	S	U	Strephon Taylor
Ghoul	S	C	Lee Gibbons
Giant Albino Penguins	S	C	Dennis J. Calero
Gnoph Keh	S	R	Heather McKinney
Golden Eye Society	S	U	Alan M. Clark
Goody Fowler's Ghost	S	C	Drashi Kendup
Great Temple at Karnak	B3	R	Jason Voss
Grecian Lekythos	B3	C	Heather McKinney
Grivas Old and New Books	B3	C	Strephon Taylor
Grizzled Boston Detective	I	x	C. Brent Ferguson & Ovi Hondru
Hands of Colubra	S	C	Michael Kellner
Hangman's Hill	S	R	Alan M. Clark
Hardened Chicago Gangster	I	x	C. Brent Ferguson & Ovi Hondru
Harney Reginald Opens Fire	S	C	Thomas Garrett Adams
Harvard University Houghton Library of Rare Books	B2	U	Thomas Garrett Adams
Harvey Walters	S	C	R. Wayt Smith
Hastur	B2	R	Dennis J. Calero
Haunted French Sculptor	I	x	C. Brent Ferguson & Ovi Hondru
Henry Armitage	B1	U	Michael Blanchard
Herbert West 	B1	C	Roger Raupp
Home of Laban Shrewsbury	S	R	Stephen Barnwell
Hospital for the Insane	B3	U	Strephon Taylor
Hound of the Tindalos	S	U	Tom Sullivan
Howard Lovecraft	S	U-P	Roger Raupp
Huntingdon Asylum for Lunatics	B1	U	Thomas Garrett Adams
Hurricane	S	U	Andrew T. Kalichack
Hydrophobia	S	U	Justin Hampton
Iatrophobia	S	R	R. Wayt Smith
Ibrahim Amin	B3	C	Jason Voss
Il Mondo Occulto	B1	R	Salvatore Abbinanti
In the Nick of Time	S	U	John Snyder
Influenza	S	C	Barry Chambers
Innsmouth Courier	S	C	Barry Chambers
Inquisitive Chinese Intellectual	I	x	C. Brent Ferguson & Ovi Hondru
Instability in the Mythos	S	C	Lee Gibbons
Instability in the Mythos	S	C	Tom Sullivan
Ithaqua	S	C	Tom Sullivan
Jeremiah Brewster	S	C	Stephen Barnwell
Jermyn House	B1	R	Michael Blanchard
Jewelry of the Deep Ones	S	U	Roger Raupp
John Scott 	B3	U	Strephon Taylor
Joseph Curwen	B3	R	Todd Lockwood
K.J. Hooper 	S	C	Heather McKinney
Kalil Kareem	B3	C	Jason Voss
Keeness of Two Alike	S	R	Michael Kellner
Keziah Mason	B3	U	C. Brent Ferguson & Ovi Hondru
King in Yellow (English)	S	C	Lee Moyer
King in Yellow (French)	S	R	Lee Moyer
Kiss of Dagon	B2	C	Earl Geier
Kitab Al Azif-Arabic	B3	U	Justin Hampton
Knee-Deep in Doom 	S	C	Chaosium
Knight's Head inn	B1	C	Scott Kirschner
La Mole Antonelliana	B1	C	Angelo Montanini
Lamp of Alhazrad	B3	U	Heather McKinney
Lavinia Whateley	B1	C	Andrew T. Kalichack
Liber Ivonis	B1	C	Barry Chambers
Livre d'Ivon	B3	U	Barry Chambers
Lord Edward Dunsany	B1	R	Andrew T. Kalichack
Lost in the Catacombs	B1	C	Chaosium
Lost Temple of Atlantis	B2	U	Andrew T. Kalichack
Mad German Inventor	I	x	C. Brent Ferguson & Ovi Hondru
Madame Blavatsky	B1	R	Dennis J. Calero
Make Money Fast!	B3	U	Chaosium
Mao Ceremony	B2	R	Michael Kellner
Marsh Refining Co. 	S	U	Scott M. Fischer
Martense Kin	S	C	Andrew T. Kalichack
Martense Mansion	S	R	Tom Sullivan
Massachusetts State Hospital	S	U	Jason Voss
Mauretania	B1	U	Eric Vogt
Mercy Dexter	S	C	Salvatore Abbinanti
Mi-Go	S	C	Tom Sullivan
Mi-Go Braincase	S	R	Thomas Garrett Adams
Miskatonic University Medical School	B1	U	Jeff Menges
Miskatonic University Memorial Hall	B1	C	Jeff Menges
Miskatonic University Orne Library	B1	C	Jeff Menges
Miskatonic University Science Annex	B1	R	Jeff Menges
Mist of R'lyeh	B2	C	Michael Kellner
Mist Projector	S	R	Andrew T. Kalichack
Monophobia	S	C	Strephon Taylor
Morose Veteran of the Great War	I	x	C. Brent Ferguson & Ovi Hondru
Mosque of Amr	B3	C	Strephon Taylor
Mosque of Ibn Tulun	B3	U	Strephon Taylor
Mother Hydra	S	U	Lee Moyer
Mummy	B3	C	Susan Van Camp
Nahum Gardner	S	C	John Bridges
Nahum Gardner Place	S	U	Heather McKinney
Nameless Cults, Bridewell Edition	S	C	Barry Chambers
Nameless Cults, Golden Goblin Edition	B1	C	Roger Raupp
Nathaniel Wingate Peaslee 	B1	C	Jason Voss
Necronomicon (Greek)	B1	C	Barry Chambers
Necronomicon (Latin)	B1	U	Barry Chambers
Necronomicon, Dee Ed. 	S	C	Barry Chambers
New Moon	S	U	Scott M. Fischer
Nightgaunts	S	C	Tom Sullivan
North Burial Ground	S	C	Heather McKinney
Nyarlathotep	S	R	Lee Gibbons
Nyhargo Dirge	S	C	Michael Kellner
Obsessive/Compulsive	S	R	Andrew T. Kalichack
Olaus Wormius	B3	U	Scott M. Fischer
Old Arkham Cemetery	S	C	Gene Day
Old Man Whateley	B1	R	Andrew T. Kalichack
Old Mill Ruins	B1	C	C. Brent Ferguson & Ovi Hondru
On The Edge.	S	R	Chaosium
One Dark and Stormy Night..	S	C	Chaosium
One of the Circle	B2	U	Chaosium
Orne Formulae & Diagrams	B2	R	Dennis J. Calero
Orne's Black	B3	C	Michael Kellner
Osborn's General Store	B1	C	Tim Calender
Otaheite	B2	C	Heather McKinney
Pack of Rat Things	S	C	Thomas Garrett Adams
Paracelsus' Sword	S	U	Scott M. Fischer
Peck Valley Cemetery	S	R	John Bridges
Pickman's Apartment	B3	R	Scott Kirschner
Pipes of Madness	S	U	Michael Kellner
Police investigation	S	C	Andrew T. Kalichack
Ponape	B2	C	Heather McKinney
Ponape Scripture (Glyphs)	B2	C	Joseph Sutliff
Ponape Scripture, Hoag Ms.	S	C	Joseph Sutliff
Potter's Field	S	C	Andrew T. Kalichack
Powder of Ibn Ghazi	B2	C	Michael Kellner
Powerful Storms	S	C	Eric Vogt
Pragmatic Hobo	I	x	C. Brent Ferguson & Ovi Hondru
Professor Wingate Peaslee	B1	R	Jason Voss
Proud Prussian Submariner	I	x	C. Brent Ferguson & Ovi Hondru
R'lyeh	B2	U	Tom Sullivan
R'lyeh Disk, Left Fragment	B2	U	Strephon Taylor
R'lyeh Disk, Right Fragment	B2	U	Strephon Taylor
R'lyeh Disk, Top Fragment	B2	U	Strephon Taylor
R'lyeh Text (Atlantean)	B2	C	Susan Van Camp
R'lyeh Text (Chinese)	B3	R	Tim Calender
Radiance of Alsophocus	B2	C	Michael Kellner
Randolph Carter 	S	R	Roger Raupp
Raymond Legrasse	S	C	Susan Van Camp
Remortification	B3	R	Michael Kellner
Remote Whateley Farmhouse	B1	C	Strephon Taylor
Respected New England Doctor	I	x	Ovi Hondru
Resurrection	B3	C	Sam Shirley
Retoka	B2	C	Heather McKinney
Rhabdophobia	S	U	Jeff Menges
Rhan Tegoth	S	C	Thomas Garrett Adams
Rhoby Harris	S	R	Strephon Taylor
Richard Upton Pickman	B3	C	Andrew T. Kalichack
Ring of Eibon	S	R	Susan Van Camp
Robert Blake's Study	S	C	Drashi Kendup
Robert Harrison Blake	S	R	Jeff Menges
Robert Marsh	S	U	Stephen Barnwell
Robert W. Chambers	B2	C	Lee Moyer
Sand Dwellers	B3	C	Dennis J. Calero
Sarnath Sigil	B2	C	Michael Kellner
Save The World!	B3	C	Chaosium
Schizophrenia	B2	C	Joseph Sutliff
Scotophobia	S	C	Scott Kirschner
Seal of Isis	S	C	Scott M. Fischer
Seaplane	B2	R	Eric Vogt
Secrets of the Silver Twilight	B3	U	Chaosium
Seeking Everlasting Life 1	B3	U	Chaosium
Seeking Everlasting Life 2	B3	U	Chaosium
Sefton Asylum	S	U	Heather McKinney
Sentinel Hill	B1	U	Heather McKinney
Serpent People	S	C	Mark Ferrari
Seth Bishop Ruins	B1	R	Todd Lockwood
Seven Cryptical Books of H'san (Chinese)	B3	R	Strephon Taylor
Seven Cryptical Books of H'san (English)	S	U	Scott M. Fischer
Shantaks	S	C	Tom Sullivan
Shining Trapezohedron	S	U	Susan Van Camp
Shoggoth	S	U	R. Wayt Smith
Shotgun	S	C	Dennis J. Calero
Shrivelling	S	C	Michael Kellner
Sign of Barzai	B3	C	Michael Kellner
Sign of Eibon	S	C	Michael Kellner
Sign of Kish	S	U	Michael Kellner
Silver Twilight Lodge	B3	U	Thomas Garrett Adams
Simon Orne	B3	R	Roger Raupp
Skeletons	S	C	Strephon Taylor
Societe Royale De Geographic D'egypte	B3	C	Strephon Taylor
Son of Yog-Sothoth	B1	U	Lee Moyer
Song of Hastur	B2	R	Michael Kellner
Soul Singing	B2	C	Michael Kellner
South Woods Memorial Cemetery	S	C	Dennis J. Calero
Space Mead	B2	U	Scott M. Fischer
Sphere of Nath	S	R	Alan M. Clark
St. John's Churchyard	S	R	Drashi Kendup
Staid University Professor	I	x	C. Brent Ferguson & Ovi Hondru
Stand Against the Order	S	R	Chaosium
Star Spawn of Cthulhu	B2	C	Tom Sullivan
Star Stone of Mnar	S	U	Barry Chambers
Steal Life	B2	R	Michael Kellner
Stonehenge	B1	C	Strephon Taylor
Summon Great Cthulhu	B3	R	Chaosium
Surprise Meeting	B3	C	Thomas Garrett Adams
Tempest Mountain 	S	C	Todd Lockwood
The Arkham Advertiser	S	C	Jeff Menges
The Auction	B1	U	Chaosium
The Auction House	B1	C	Scott Kirschner
The Birds & Byakhees	S	R	Chaosium
The Brazen Head	S	U	Jason Voss
The Catacombs Beneath Paris	B1	U	John Snyder
The Chosen of Bast	B3	C	Jason Voss
The Cruise	B2	U	Chaosium
The Curious Parcel	S	C	Chaosium
The Docks	B3	C	Thomas Garrett Adams
The Dunwich Horror	B1	R	Chaosium
The Expedition	B1	U	Chaosium
The Great Epidemic	S	R	Chaosium
The Highland Loch 	B1	C	Ovi Hondru
The House on Olney Court	S	R	Drashi Kendup
The Innsmouth Look	S	R	Tom Sullivan
The Interesting Shop 	S	C	Chaosium
The Lonely House in the Woods	S	R	Tim Calender
The Lowell Street Cafe	S	C	Chris Adams
The Marsh Mansion	S	R	Susan Van Camp
The Muski	B3	C	Strephon Taylor
The Necropolis	B1	R	Angelo Montanini
The Office of Dr. Freud	B1	U	John Snyder
The Outsider	S	R	Chaosium
The Royal Geographic Society	B2	U	Chaosium
The Secret of Power & Glory is Yours	B1	U	Chaosium
The Shunned House	S	R	Jason Voss
The Sphinx	B3	C	Strephon Taylor
The Strange Case	B2	R	Chaosium
The Sun Worshipper	B3	U	Chaosium
The Temple	B2	U	Chaosium
The Theron Marks Society 	S	U	Chaosium
The Ultra-Violet	S	R	Andrew T. Kalichack
The Unfortunate Nephew	I	x	C. Brent Ferguson & Ovi Hondru
The Unnameable House	S	U	Chris Adams
The Unspeakable Oath	B1	R	Chaosium
The Waite House 	S	C	Todd Lockwood
Thieves in your Attic	S	C	Thomas Garrett Adams
Thirty-Five Abominable Adulations of the Bloated One	B2	R	Tom Sullivan
Thomas Edward Lawrence	B3	U	Jason Voss
Thomas F. Malone	B3	C	Strephon Taylor
Thurston's Tavern	S	C	Chris Adams
Titanic	B1	R	Eric Vogt
Tomb of the Prophet Daniel	B3	R	Strephon Taylor
Tommygun	S	C	Barry Chambers
Townsfolk Riot	S	U	Ovi Hondru
Train	S	C	Eric Vogt
Tramp Steamer	B2	C	Eric Vogt
Tree of Sayede Mandura	B3	C	Strephon Taylor
Triskaidekaphobia	S	R	Justin Hampton
Typhoid	S	U	Heather McKinney
Typhoon	B1	C	Eric Vogt
U-Boat	B2	U	Eric Vogt
Unaussprechlichen Kulten	S	C	Barry Chambers
Valley of the Kings	B3	U	Strephon Taylor
Vampire	S	U	Lee Moyer
Voola Ritual	B2	C	Sam Shirley
Voorish Sign	S	R	Michael Kellner
Wakalea	B2	C	Bono Fabio
Waning Moon	S	C	Scott M. Fischer
Ward Mansion	S	U	C. Brent Ferguson & Ovi Hondru
Wave of Oblivion	S	R	Michael Kellner
Waxing Moon	S	C	Dennis J. Calero
Wilbur Whateley	B1	U	Andrew T. Kalichack
William Channing Webb	B2	C	Scott M. Fischer
Wrack	S	C	Sam Shirley
Y'ha-Nthlei	B2	R	Andrew T. Kalichack
Yithian Mental Contact	S	U	Lee Moyer
Your First Big Story!	S	C	Chaosium
Zachariah Whateley	B1	C	Scott M. Fischer
Zadok Allen	S	C	Dennis J. Calero
Zombies	S	C	Tom Sullivan

